,Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,Anxiety,Depression,Insomnia,OCD,Music effects
2,8/27/2022 21:28,18.0,Spotify,4.0,No,No,No,Video game music,No,Yes,7.0,7.0,10.0,2.0,No effect
3,8/27/2022 21:40,61.0,YouTube Music,2.5,Yes,No,Yes,Jazz,Yes,Yes,9.0,7.0,3.0,3.0,Improve
4,8/27/2022 21:54,18.0,Spotify,4.0,Yes,No,No,R&B,Yes,No,7.0,2.0,5.0,9.0,Improve
5,8/27/2022 21:56,18.0,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,8.0,8.0,7.0,7.0,Improve
6,8/27/2022 22:00,18.0,YouTube Music,3.0,Yes,Yes,No,Video game music,Yes,Yes,4.0,8.0,6.0,0.0,Improve
7,8/27/2022 22:18,21.0,Spotify,1.0,Yes,No,No,K pop,Yes,Yes,5.0,3.0,5.0,3.0,Improve
8,8/27/2022 22:33,19.0,Spotify,6.0,Yes,No,No,Rock,No,No,2.0,0.0,0.0,0.0,Improve
9,8/27/2022 22:44,18.0,I do not use a streaming service.,1.0,Yes,No,No,R&B,Yes,Yes,2.0,2.0,5.0,1.0,Improve
10,8/27/2022 22:51,18.0,Spotify,3.0,Yes,Yes,No,Country,Yes,No,7.0,7.0,4.0,7.0,No effect
11,8/27/2022 23:00,19.0,YouTube Music,8.0,Yes,No,No,EDM,Yes,No,1.0,0.0,0.0,1.0,Improve
13,8/27/2022 23:12,19.0,Spotify,2.0,Yes,No,No,Country,Yes,No,2.0,1.0,2.0,0.0,Improve
14,8/27/2022 23:16,18.0,Spotify,4.0,Yes,Yes,No,Jazz,Yes,Yes,6.0,4.0,7.0,0.0,Improve
15,8/27/2022 23:19,17.0,Spotify,2.0,No,No,No,Pop,Yes,Yes,7.0,5.0,4.0,1.0,Worsen
16,8/27/2022 23:39,16.0,Spotify,8.0,Yes,No,No,Hip hop,Yes,Yes,8.0,8.0,4.0,3.0,Improve
17,8/27/2022 23:39,16.0,Spotify,12.0,Yes,No,Yes,Hip hop,Yes,Yes,5.0,7.0,10.0,0.0,Improve
18,8/27/2022 23:40,17.0,Spotify,24.0,Yes,No,No,Rap,Yes,No,7.0,5.0,0.0,3.0,Improve
19,8/27/2022 23:41,15.0,Spotify,3.0,No,No,No,Hip hop,No,No,7.0,3.0,0.0,2.0,Improve
